epoch,step,train_loss,val_auc,val_f1
0,0,0.6961054801940918,,
0,0,,0.800000011920929,0.6666666865348816
1,1,0.6717382669448853,,
1,1,,1.0,0.6666666865348816
2,2,0.6337456703186035,,
2,2,,1.0,0.75
