epoch,step,train_loss,val_auc,val_f1
0,0,0.7235868573188782,,
0,0,,0.8666666746139526,0.6666666865348816
1,1,0.623976469039917,,
1,1,,0.9333333373069763,0.800000011920929
2,2,0.6070066690444946,,
2,2,,1.0,0.800000011920929
