epoch,step,train_loss,val_auc,val_f1
0,0,0.7353829145431519,,
0,0,,0.6666666865348816,0.6666666865348816
1,1,0.6189565062522888,,
1,1,,0.8666666746139526,0.800000011920929
2,2,0.5590906739234924,,
2,2,,0.9333333373069763,0.800000011920929
